% structure for data mining single hand sign language gestures
@relation SingleHandGestures
@attribute 'NoHands' numeric
@attribute 'thumb_angle' numeric
@attribute 'index_angle' numeric
@attribute 'middle_angle' numeric
@attribute 'ring_angle' numeric
@attribute 'pinky_angle' numeric
@attribute 'Dist_thumb_index' numeric
@attribute 'Dist_thumb_middle' numeric
@attribute 'Dist_thumb_ring' numeric
@attribute 'Dist_thumb_pinky' numeric
@attribute 'Dist_index_middle' numeric
@attribute 'Dist_index_ring' numeric
@attribute 'Dist_index_pinky' numeric
@attribute 'Dist_middle_ring' numeric
@attribute 'Dist_middle_pinky' numeric
@attribute 'Dist_ring_pinky' numeric
@attribute 'class' {c,g,bad,ok}
@data
1, 0.01239514, 0.01037645, 0.8013155, 0.7921568, 0.7586552,89.14929,74.82182,88.78279,95.02057,117.2373,123.6009,120.2104,14.81251,24.95042,12.40098,c
1, 0.01218688, 0.01036727, 0.8012202, 0.7921278, 0.7585637,89.60879,75.03076,89.05325,95.34177,117.2759,123.6594,120.267,14.83115,24.963,12.40126,c
1, 0.01202828, 0.01032662, 0.8010496, 0.7919992, 0.7586395,90.19185,75.25113,89.37267,95.73067,117.3153,123.7535,120.3601,14.86971,24.99343,12.41086,c
1, 0.01193231, 0.01023638, 0.8009275, 0.7917341, 0.7587395,90.91175,75.54417,89.76923,96.2178,117.3555,123.8581,120.4656,14.9059,25.0241,12.42662,c
1, 0.01184279, 0.01021349, 0.8009529, 0.7916038, 0.7591575,91.39968,75.70035,90.02,96.54037,117.3578,123.9383,120.5533,14.94879,25.0637,12.44679,c
1, 0.0117389, 0.01029992, 0.8009801, 0.7915135, 0.7596534,91.7524,75.85879,90.22058,96.8053,117.3653,123.9801,120.6062,14.96268,25.0923,12.46889,c
1, 0.01160645, 0.01055729, 0.8010184, 0.7914066, 0.7600921,92.07121,75.99276,90.38422,97.02706,117.3578,124.0017,120.6377,14.97038,25.11375,12.48909,c
1, 0.01175308, 0.01103735, 0.8011298, 0.791468, 0.7607301,92.2291,76.07222,90.4922,97.18581,117.278,123.9579,120.6118,14.98185,25.13867,12.50819,c
1, 0.01191115, 0.01172358, 0.8012676, 0.7915579, 0.7613281,92.31651,76.2106,90.64526,97.38928,117.1456,123.85,120.5253,14.98167,25.15327,12.52408,c
1, 0.01174068, 0.01250947, 0.801185, 0.7915041, 0.761569,92.45138,76.33076,90.79735,97.58351,116.9991,123.739,120.428,14.99319,25.16569,12.53261,c
1, 0.01184583, 0.01340806, 0.8010792, 0.791232, 0.7614673,92.47878,76.41093,90.9051,97.71932,116.806,123.5939,120.2953,15.00192,25.16428,12.53638,c
1, 0.01166725, 0.01432872, 0.8009846, 0.7908132, 0.7611323,92.54353,76.49752,91.03387,97.87195,116.6129,123.4676,120.1766,15.01863,25.15885,12.537,c
1, 0.01144344, 0.01529872, 0.800961, 0.7905489, 0.7608386,92.56304,76.57262,91.15324,98.00844,116.4118,123.3347,120.0545,15.0391,25.15315,12.53226,c
1, 0.01118469, 0.01624215, 0.8009614, 0.790256, 0.7603558,92.55025,76.69112,91.27813,98.14507,116.2227,123.1725,119.901,15.03363,25.13027,12.52347,c
1, 0.01081306, 0.01716107, 0.8009961, 0.7900687, 0.7599461,92.40842,76.7293,91.32059,98.18163,116.0307,123.0093,119.7458,15.03257,25.10871,12.51213,c
1, 0.01056594, 0.01803863, 0.8009, 0.7898008, 0.7594338,92.2514,76.75238,91.34746,98.19921,115.8374,122.8421,119.5838,15.03168,25.08703,12.50067,c
