% structure for data mining single hand sign language gestures
@relation SingleHandGestures
@attribute 'NoHands' numeric
@attribute 'thumb_angle' numeric
@attribute 'index_angle' numeric
@attribute 'middle_angle' numeric
@attribute 'ring_angle' numeric
@attribute 'pinky_angle' numeric
@attribute 'Dist_thumb_index' numeric
@attribute 'Dist_thumb_middle' numeric
@attribute 'Dist_thumb_ring' numeric
@attribute 'Dist_thumb_pinky' numeric
@attribute 'Dist_index_middle' numeric
@attribute 'Dist_index_ring' numeric
@attribute 'Dist_index_pinky' numeric
@attribute 'Dist_middle_ring' numeric
@attribute 'Dist_middle_pinky' numeric
@attribute 'Dist_ring_pinky' numeric
@attribute 'class' {c,g,bad,ok}
@data
1, 0.1022128, 0.5054415, 0.8259249, 0.8258915, 0.8290518,23.37342,63.82389,75.62595,83.23064,54.82048,65.55807,72.76335,14.46969,28.82676,15.67481,?
1, 0.1012029, 0.4741804, 0.8258561, 0.8262049, 0.8296625,22.05734,63.56123,75.39941,82.95766,57.54906,68.28447,75.23746,14.53745,28.88927,15.68428,?
1, 0.09997165, 0.4115877, 0.8216052, 0.8259243, 0.8292521,19.56746,62.6441,74.47647,81.95663,63.16019,73.87725,80.29053,14.71956,29.11246,15.70223,?
1, 0.09877431, 0.4296032, 0.820437, 0.8259788, 0.8292893,18.37617,62.07828,74.02006,81.59625,63.06908,73.91967,80.36807,14.83344,29.25874,15.72891,?
1, 0.2711803, 0.7017423, 0.8035654, 0.8086643, 0.02362669,45.99677,51.23979,61.80341,65.4007,8.435134,25.67813,83.85457,17.57554,83.09708,78.88429,?
1, 0.1768331, 0.8472962, 0.8081306, 0.7994369, 0.0006449223,41.1367,46.3148,53.87418,56.6913,10.41832,23.4009,87.08794,14.80326,88.69778,87.10222,?
1, 0.1550962, 0.8188116, 0.8064032, 0.7870821, 0.006257176,49.40406,51.70588,62.02904,83.21926,10.49027,21.86328,101.5321,14.35125,99.42315,96.46104,?
1, 0.1527617, 0.7966285, 0.816722, 0.7876129, 0,51.1416,53.41602,63.68383,85.171,9.376481,21.25988,101.8622,13.98897,98.95836,95.84563,?
1, 0.1396959, 0.8142536, 0.8020859, 0.7826925, 0.008567452,47.99519,49.39382,60.82505,83.06644,13.77264,25.91953,103.6247,15.031,97.33797,94.71841,?
1, 0.165602, 0.8023048, 0.7984231, 0.775771, 0.008499086,47.04436,48.72646,59.32469,79.92481,11.5332,24.49085,102.007,15.02238,97.14129,94.0975,?
1, 0.3165306, 0.7919827, 0.7841802, 0.8038439, 0.09315795,46.96235,48.9404,44.36847,76.4287,14.12927,27.04421,111.583,14.93017,106.6597,94.58962,?
1, 0.1248839, 0.7435357, 0.7476459, 0.7368057, 0.06870449,53.14705,60.848,68.59667,84.63936,9.458512,21.01715,102.9119,12.62569,103.9597,100.0897,?
1, 0.1093105, 0.7737851, 0.7606648, 0.7566291, 0.07871056,53.63126,61.53473,69.46004,92.96281,9.740343,21.02221,104.4324,12.66455,105.4821,100.4813,?
1, 0.1192797, 0.7888136, 0.7833518, 0.7693039, 0.04367828,58.2879,67.95735,76.92655,106.5213,10.41812,21.84209,106.9692,12.32841,107.256,102.1959,?
1, 0.159842, 0.785576, 0.7769083, 0.7607611, 0.06052572,53.41491,62.63899,71.01735,95.16589,10.50547,21.96988,104.5879,12.47339,105.3742,100.7921,?
1, 0.09095633, 0.7761878, 0.764465, 0.7566892, 0.04315263,56.69449,66.12504,74.99576,96.59547,10.65932,22.14762,103.497,12.63972,104.1213,99.68643,?
1, 0.1878299, 0.7276172, 0.7709525, 0.7694143, 0.0625273,51.14214,53.00471,48.18127,81.91187,13.14651,26.82068,116.4596,15.59834,110.3474,97.87124,?
1, 0.2527841, 0.7151745, 0.7649529, 0.7701679, 0.05091339,45.53605,48.9565,49.54358,78.05137,5.120983,16.41849,106.2744,12.86584,107.2376,99.16142,?
1, 0.2430621, 0.7211213, 0.7654481, 0.7726351, 0.0514338,45.86154,48.84383,48.56952,79.81935,4.811663,17.0023,107.3788,13.8146,108.0798,98.62031,?
1, 0.237698, 0.7212095, 0.7642924, 0.7647761, 0.04756176,45.66954,48.50945,47.21685,80.93309,5.170841,17.18427,107.9961,13.60226,108.2467,98.39893,?
1, 0.2327715, 0.7214478, 0.7649233, 0.7689011, 0.04826498,46.08387,49.26892,48.80475,80.1007,4.657871,16.26094,106.9127,13.56375,108.0711,98.64745,?
1, 0.2024209, 0.7437816, 0.7797834, 0.7841778, 0.09385121,51.02892,57.20992,63.49828,69.92819,8.808225,20.71206,90.99438,12.57389,90.43732,85.68682,?
1, 0.2093509, 0.7466315, 0.7526681, 0.7384635, 0.04248834,46.09805,49.50298,47.89938,82.95295,7.870728,17.41072,109.0416,11.41709,109.2399,101.0235,?
1, 0.3241902, 0.7782296, 0.7577622, 0.8370403, 0.03465104,43.37466,46.42055,35.46529,80.03353,8.940048,22.34765,111.3629,18.58395,111.9221,94.8903,?
1, 0.2271677, 0.7271662, 0.7598705, 0.7730681, 0.04238522,47.5649,50.2602,40.87892,80.13498,6.062843,20.70743,109.5374,17.95616,109.4379,94.175,?
