% structure for data mining single hand sign language gestures
@relation SingleHandGestures
@attribute 'NoHands' numeric
@attribute 'thumb_angle' numeric
@attribute 'index_angle' numeric
@attribute 'middle_angle' numeric
@attribute 'ring_angle' numeric
@attribute 'pinky_angle' numeric
@attribute 'Dist_thumb_index' numeric
@attribute 'Dist_thumb_middle' numeric
@attribute 'Dist_thumb_ring' numeric
@attribute 'Dist_thumb_pinky' numeric
@attribute 'Dist_index_middle' numeric
@attribute 'Dist_index_ring' numeric
@attribute 'Dist_index_pinky' numeric
@attribute 'Dist_middle_ring' numeric
@attribute 'Dist_middle_pinky' numeric
@attribute 'Dist_ring_pinky' numeric
@attribute 'class' {c,g,0,1,2,3,4,5,6,7,8,9}
@data
1, 0.004747391, 0.05312061, 0.06169045, 0.0382179, 0.04335248,98.35885,134.1888,156.3631,170.6436,46.04761,81.66308,114.9559,40.30802,82.34811,45.48772,5
1, 0.007217705, 0.05221981, 0.05865002, 0.03661323, 0.04172027,98.19401,134.3082,156.3948,170.4089,46.18668,81.70148,114.7647,40.24321,82.10372,45.31437,5
1, 0.01041234, 0.05227679, 0.05558491, 0.03461736, 0.03950357,97.95142,134.3112,156.3403,170.1379,46.32404,81.79985,114.6847,40.22399,81.94773,45.19547,5
1, 0.01306182, 0.0506683, 0.05218434, 0.03238118, 0.03685379,97.78376,134.3567,156.3125,169.9173,46.46755,81.90178,114.6545,40.19383,81.81319,45.09842,5
1, 0.01526219, 0.04700053, 0.04870403, 0.03009635, 0.03415453,97.70695,134.4167,156.3085,169.7598,46.59031,82.02343,114.685,40.18523,81.72201,45.02713,5
1, 0.01691628, 0.04350883, 0.04592466, 0.02835315, 0.0323028,97.73508,134.5499,156.391,169.7381,46.70191,82.15366,114.7794,40.18573,81.68277,44.9964,5
1, 0.01772362, 0.04111063, 0.04364991, 0.02658695, 0.03050703,97.774,134.6963,156.4904,169.6964,46.72393,82.17573,114.7523,40.16071,81.58489,44.92662,5
1, 0.01770866, 0.03780973, 0.0415709, 0.02510941, 0.02899683,97.90908,134.8398,156.6057,169.7448,46.65239,82.14558,114.7631,40.15591,81.56519,44.91307,5
1, 0.01740253, 0.03422117, 0.03958738, 0.02372217, 0.0276714,98.01759,134.9147,156.6675,169.7601,46.48429,82.06123,114.7893,40.1703,81.59013,44.91805,5
1, 0.0172379, 0.03077561, 0.03744519, 0.0223431, 0.0262658,98.11572,134.9494,156.6571,169.6957,46.33408,81.94738,114.7367,40.14454,81.52967,44.87008,5
1, 0.01659465, 0.02843732, 0.03602493, 0.02114975, 0.02534223,98.17635,134.9559,156.6882,169.7491,46.22567,81.9425,114.8353,40.19272,81.60883,44.90866,5
